inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,1,365,32,704,2025-07-19
2,1,3,44,34,727,2025-03-13
3,1,3,370,37,947,2024-05-06
4,2,2,218,30,726,2025-02-22
5,2,5,386,38,897,2024-09-25
6,3,5,267,27,972,2024-02-28
7,3,5,392,24,918,2024-09-27
8,3,4,265,24,335,2024-10-21
9,4,5,158,33,894,2025-11-28
10,4,5,392,19,683,2024-11-21
11,5,2,24,43,276,2024-01-08
12,5,3,375,44,814,2024-02-16
13,6,4,125,23,485,2025-02-25
14,6,4,253,12,339,2024-05-16
15,6,3,333,15,633,2025-11-10
16,7,1,389,49,318,2024-08-02
17,8,5,480,20,973,2024-04-13
18,8,5,375,49,316,2025-11-16
19,9,1,112,42,848,2025-02-22
20,9,5,206,48,600,2025-08-11
21,9,5,238,20,369,2024-11-09
22,10,1,202,22,757,2024-09-19
23,11,2,417,47,664,2024-11-01
24,12,3,32,36,265,2025-09-29
25,12,5,308,21,349,2025-09-01
26,13,1,225,42,438,2024-02-16
27,13,3,410,11,358,2025-08-19
28,13,3,491,27,814,2025-03-12
29,14,5,349,37,857,2024-08-07
30,14,4,362,43,224,2024-12-09
31,14,2,338,45,722,2025-12-06
32,15,1,78,50,272,2026-01-19
33,15,4,200,46,697,2024-04-08
34,16,1,63,46,393,2024-08-19
35,17,4,12,36,652,2024-10-20
36,17,2,445,31,880,2025-09-14
37,18,2,181,31,217,2025-12-06
38,18,3,280,31,851,2024-06-15
39,18,3,387,34,409,2025-04-09
40,19,5,22,27,578,2025-02-11
41,20,3,331,45,275,2024-09-19
