order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,17,4,145.21,580.84
2,1,8,5,30.98,154.9
3,2,17,3,145.21,435.63
4,2,13,4,247.35,989.4
5,3,16,5,348.39,1741.95
6,3,3,4,468.17,1872.68
7,3,5,2,65.88,131.76
8,3,8,5,30.98,154.9
9,4,15,4,21.92,87.68
10,4,18,5,234.26,1171.3
11,4,6,1,7.73,7.73
12,5,13,4,247.35,989.4
13,5,17,3,145.21,435.63
14,5,5,2,65.88,131.76
15,6,18,5,234.26,1171.3
16,6,18,4,234.26,937.04
17,6,3,5,468.17,2340.85
18,7,1,3,160.82,482.46
19,7,11,4,70.8,283.2
20,7,3,2,468.17,936.34
21,8,6,3,7.73,23.19
22,8,5,4,65.88,263.52
23,8,15,1,21.92,21.92
24,8,15,1,21.92,21.92
25,9,13,3,247.35,742.05
26,9,17,3,145.21,435.63
27,9,5,1,65.88,65.88
28,9,5,1,65.88,65.88
29,9,8,1,30.98,30.98
30,10,2,3,31.05,93.15
31,10,17,5,145.21,726.05
32,10,1,2,160.82,321.64
33,10,11,3,70.8,212.4
34,11,19,5,82.59,412.95
35,11,3,3,468.17,1404.51
36,11,15,2,21.92,43.84
37,11,10,5,268.27,1341.35
38,12,4,2,353.73,707.46
39,13,13,5,247.35,1236.75
40,14,20,5,254.5,1272.5
41,14,16,2,348.39,696.78
42,14,16,1,348.39,348.39
43,14,2,5,31.05,155.25
44,14,5,1,65.88,65.88
45,15,6,3,7.73,23.19
46,16,9,5,415.34,2076.7
47,16,15,3,21.92,65.76
48,16,8,3,30.98,92.94
49,17,4,2,353.73,707.46
50,17,13,1,247.35,247.35
51,17,5,4,65.88,263.52
52,18,20,5,254.5,1272.5
53,18,20,5,254.5,1272.5
54,18,9,1,415.34,415.34
55,18,19,1,82.59,82.59
56,19,11,1,70.8,70.8
57,20,14,3,52.01,156.03
58,20,16,3,348.39,1045.17
59,20,20,1,254.5,254.5
60,20,6,2,7.73,15.46
61,21,17,4,145.21,580.84
62,21,11,3,70.8,212.4
63,22,20,2,254.5,509
64,22,8,5,30.98,154.9
65,22,9,4,415.34,1661.36
66,22,20,4,254.5,1018
67,23,1,5,160.82,804.1
68,23,9,1,415.34,415.34
69,23,9,4,415.34,1661.36
70,23,20,2,254.5,509
71,24,3,2,468.17,936.34
72,24,8,2,30.98,61.96
73,24,12,5,21.98,109.9
